geom_id,neighbor_geom
186,"[137, 174, 175, 184, 190, 214]"
187,"[183, 191]"
188,"[178, 180, 182, 194]"
189,"[137, 185, 191, 193]"
190,"[184, 186, 215, 217]"
191,"[187, 189, 193, 195]"
192,[194]
193,"[137, 189, 191, 195, 197, 198, 214]"
194,"[178, 182, 188, 192, 196]"
195,"[191, 193, 197, 200]"
196,"[194, 199]"
197,"[193, 195, 198, 200, 202, 203, 204, 207, 209]"
198,"[137, 193, 197, 203, 214, 215]"
199,"[196, 201, 208]"
200,"[195, 197, 202, 204, 205]"
201,"[199, 208, 217, 219, 222]"
202,"[197, 200, 204, 207]"
203,"[197, 198, 214, 215]"
204,"[197, 200, 202, 205, 207, 211]"
205,"[200, 204, 211]"
206,"[208, 210, 212]"
207,"[197, 202, 204]"
208,"[199, 201, 206, 210, 212, 219, 222, 224]"
209,"[197, 216]"
210,"[206, 208, 212, 213]"
211,"[204, 205]"
212,"[206, 208, 210, 213, 224, 225, 227]"
213,"[210, 212, 227, 228]"
214,"[137, 186, 193, 198, 203, 215]"
215,"[190, 198, 203, 214, 217]"
216,"[209, 220, 221]"
217,"[190, 201, 215, 219]"
218,"[224, 225, 227]"
219,"[201, 208, 217, 222]"
220,"[216, 221, 223]"
221,"[216, 220]"
222,"[201, 208, 219, 224]"
223,"[220, 226]"
224,"[208, 212, 218, 222, 225]"
225,"[212, 218, 224, 227]"
226,"[223, 229]"
227,"[212, 213, 218, 225, 228]"
228,"[213, 227, 230]"
229,"[226, 231, 234]"
230,"[228, 232, 233]"
231,"[229, 232, 234, 235, 236, 238, 266]"
232,"[230, 231, 233, 238]"
233,"[230, 232, 238]"
234,"[229, 231, 235, 236]"
235,"[231, 234, 236, 237, 239, 266]"
236,"[231, 234, 235, 240]"
237,"[235, 239, 241, 266]"
238,"[231, 232, 233, 266]"
239,"[235, 237, 240]"
240,"[236, 239, 244]"
241,"[237, 242, 243, 266]"
242,"[241, 243]"
243,"[241, 242, 244, 245, 246, 266]"
244,"[240, 243, 246, 252]"
245,"[243, 246, 249, 250, 266]"
246,"[243, 244, 245, 247, 249, 250]"
247,"[246, 250, 251, 252]"
248,"[249, 253, 266]"
249,"[245, 246, 248, 250, 253, 254, 266]"
250,"[245, 246, 247, 249, 251, 254, 255]"
251,"[247, 250, 252, 255]"
252,"[244, 247, 251, 258]"
253,"[248, 249, 254, 256, 266]"
254,"[249, 250, 253, 256, 257, 258]"
255,"[250, 251]"
256,"[253, 254, 257, 258, 266]"
257,"[254, 256, 258, 259, 266]"
258,"[252, 254, 256, 257, 259, 261, 262]"
259,"[257, 258, 260, 261]"
260,"[259, 261, 263]"
261,"[258, 259, 260, 262]"
262,"[258, 261, 263, 264]"
263,"[260, 262, 264]"
264,"[262, 263]"
265,[262]
266,"[231, 235, 237, 238, 241, 243, 245, 248, 249, 253, 256, 257]"
